genome	source	strains	expand	GTDB_capture	novo	contigs	genome_size	avg_len	N50_len	N90_len	GC	completeness	contamination	gene	5S	16S	23S	tRNA	quality	domain	phylum	class	order	family	genus	species
PN5RF.vae.72198	metagenome-assembly	1	Yes	No	Yes	57	1254033	22000.58	30071	11461	27.77	79.17	1.68	1066	0	0	0	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1663	s__
PN5RF.vae.7282	metagenome-assembly	61	No	No	No	49	2017072	41164.73	64162	21870	60.46	97.74	0.25	1050	0	0	0	47	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__UBA4644	s__
PN5RF.vae.97247	metagenome-assembly	1	Yes	Yes	No	38	2421034	63711.42	80847	32398	32.38	95.05	0.01	2073	0	0	0	32	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G sp000434315
PN5RG.bin.109	metagenome-assembly	1	Yes	No	Yes	267	2202908	8250.59	10721	3635	53.13	85.4	0.27	1432	2	0	0	39	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__JAHHTP01	s__
PN5RG.bin.121	metagenome-assembly	2	No	No	No	63	1763556	27992.95	69363	18089	32.25	94.97	1.73	1443	1	0	2	38	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__UBA636	s__
PN5RG.bin.225	metagenome-assembly	1	No	Yes	No	53	1280659	24163.38	66356	11470	27.07	88.17	4.96	2112	0	0	0	28	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-465	g__CAG-465	s__CAG-465 sp934132895
PN5RG.bin.230	metagenome-assembly	1	Yes	No	Yes	141	848379	6016.87	7614	3059	37.95	80.15	1.78	1382	0	2	2	29	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__RUG666	s__
PN5RG.bin.24	metagenome-assembly	3	Yes	Yes	No	90	944704	10496.71	16287	5229	29.01	64.31	1.11	1413	0	0	0	31	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-605	s__CAG-605 sp900545005
PN5RG.bin.243	metagenome-assembly	1	Yes	Yes	No	43	1352888	31462.51	77322	12586	27.79	91.82	6.93	1313	0	0	0	33	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-273	s__CAG-273 sp934121885
PN5RG.bin.63	metagenome-assembly	1	Yes	No	Yes	46	1930306	41963.18	73797	24206	46.91	93.77	0.51	2082	0	0	0	43	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAKRRH01	s__
PN5RG.bin.94	metagenome-assembly	1	No	Yes	No	103	1274908	12377.75	23701	5542	27.01	71.4	9.27	1940	0	0	0	12	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-605	s__CAG-605 sp000433475
PN5RG.vae.10095	metagenome-assembly	1	Yes	No	Yes	248	931448	3755.84	4419	1866	29.76	60.36	7.29	1803	0	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UBA5893	s__
PN5RG.vae.1012	metagenome-assembly	86	No	Yes	No	264	2408947	9124.8	13338	4077	51.8	89.25	0.16	1912	2	2	0	50	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000434975
PN5RG.vae.121717	metagenome-assembly	3	No	Yes	No	58	2460038	42414.45	57242	22276	38.74	95.34	0.02	2271	0	2	3	43	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA2882	s__UBA2882 sp017626095
PN5RG.vae.12730	metagenome-assembly	4	Yes	Yes	No	104	1940851	18662.03	30045	9746	42.25	88.12	1.47	1847	2	2	0	34	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UBA1394	s__UBA1394 sp022788225
PN5RG.vae.14740	metagenome-assembly	1	Yes	No	Yes	210	1834498	8735.71	11970	4035	53.24	74.62	1.56	1960	1	0	0	27	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__
PN5RG.vae.18667	metagenome-assembly	1	Yes	Yes	No	132	1024496	7761.33	11728	3647	27.61	86.2	1.73	1011	0	0	0	28	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS995	s__UMGS995 sp900547465
PN5RG.vae.33178	metagenome-assembly	4	Yes	Yes	No	278	2269026	8161.96	10905	3868	63.58	79.09	1.02	2007	1	0	0	37	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Ventricola	s__Ventricola sp004556985
PN5RG.vae.450	metagenome-assembly	2	No	No	No	111	1959459	17652.78	23998	9339	31.82	91.35	1.84	975	6	0	2	35	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Floccifex	s__
PN5RG.vae.45175	metagenome-assembly	1	No	No	No	57	815752	14311.44	19884	7512	27.17	83.17	2.71	759	0	0	0	30	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS1498	s__
PN5RG.vae.46649	metagenome-assembly	1	Yes	Yes	No	117	904055	7726.97	11438	3257	24.58	80.37	2.79	2034	0	1	0	26	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-433	s__CAG-433 sp900546245
PN5RG.vae.52790	metagenome-assembly	1	No	No	No	222	763739	3440.27	3805	1860	27.9	51.23	0.05	1303	0	2	2	25	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Scybalousia	s__
PN5RG.vae.52961	metagenome-assembly	2	No	Yes	No	41	2246021	54781	85326	28881	42.47	99.38	0.03	1699	1	2	1	44	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__CAG-41	s__CAG-41 sp945876665
PN5RG.vae.5512	metagenome-assembly	1	Yes	No	Yes	264	1120663	4244.94	4996	1924	24.73	75.09	8.53	1731	0	2	2	39	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__UBA710	s__
PN5RG.vae.86065	metagenome-assembly	1	No	Yes	No	94	2108101	22426.61	33532	10665	49.59	97.28	0.63	1424	2	0	0	30	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022771245
PN5RG.vae.91992	metagenome-assembly	1	Yes	No	Yes	96	678297	7065.59	29118	2256	27.91	56.38	5.64	1694	0	0	0	11	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__	g__	s__
PN5RH.bin.185	metagenome-assembly	1	Yes	Yes	No	48	2213605	46116.77	84796	30089	41.89	90.74	0.44	1040	0	1	2	42	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA11774	s__UBA11774 sp003507655
PN5RH.bin.31	metagenome-assembly	1	No	Yes	No	52	906854	17439.5	24113	9261	24.23	87.28	0.07	1892	0	2	2	21	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG591	s__RUG591 sp902797275
PN5RH.bin.84	metagenome-assembly	2	No	No	No	41	2027142	49442.49	77204	24014	30.63	96.79	0.16	1028	0	0	0	31	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__
PN5RH.vae.10684	metagenome-assembly	2	No	No	No	253	1977457	7816.04	10571	3735	60.89	78.18	2.94	942	0	1	0	24	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG3159	s__
PN5RH.vae.1187	metagenome-assembly	57	No	Yes	No	27	1938066	71780.22	103360	36410	51.89	97.98	0.37	1275	1	0	0	42	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-177	s__CAG-177 sp003514385
PN5RH.vae.12413	metagenome-assembly	1	Yes	No	Yes	151	1204575	7977.32	9856	3920	26.86	90.89	6.76	1236	0	2	0	20	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-492	s__
PN5RH.vae.13549	metagenome-assembly	2	No	No	No	157	1129181	7192.24	8845	3904	28.51	81.02	0.84	1092	0	0	0	22	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG11198	s__
PN5RH.vae.14211	metagenome-assembly	1	No	No	No	47	4027156	85684.17	130782	46055	38.27	100	1.61	527	0	1	7	58	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
PN5RH.vae.15428	metagenome-assembly	1	Yes	Yes	No	438	1898814	4335.19	4962	2292	49.16	60.05	0.59	1076	0	0	0	24	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ventrimonas	s__Ventrimonas sp022776445
PN5RH.vae.15485	metagenome-assembly	7	No	Yes	No	49	2135770	43587.14	65501	19061	44.56	98.73	0	810	1	0	0	36	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488 sp000434055
PN5RH.vae.16198	metagenome-assembly	1	No	Yes	No	71	1087507	15317	26962	7716	26.31	87.92	3.46	766	0	0	0	33	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS995	s__UMGS995 sp934130165
PN5RH.vae.19686	metagenome-assembly	2	No	No	No	49	2451944	50039.67	89482	27894	52.71	99.66	0.42	1836	0	2	0	47	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__
PN5RH.vae.40587	metagenome-assembly	1	Yes	No	Yes	52	523841	10073.87	19387	3967	28.02	70.35	9.34	1681	0	0	0	4	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-533	s__
PN5RH.vae.4409	metagenome-assembly	2	Yes	Yes	No	609	1657157	2721.11	2743	1727	53.42	52.34	0.53	2418	0	0	0	22	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp004555055
PN5RH.vae.5611	metagenome-assembly	2	Yes	Yes	No	125	2730627	21845.02	34976	10333	50.23	96.93	1.94	2020	0	2	0	50	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Copromonas	s__Copromonas sp022788065
PN5RH.vae.5657	metagenome-assembly	2	Yes	Yes	No	441	1385286	3141.24	3370	1844	41.54	57.72	0.75	1608	0	0	0	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__JAFBIX01	s__JAFBIX01 sp021531895
PN5RH.vae.57552	metagenome-assembly	2	Yes	No	Yes	40	2377733	59443.32	99514	26267	54.85	97.37	0.36	2244	3	0	0	46	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN5RH.vae.7509	metagenome-assembly	3	Yes	No	Yes	410	1806538	4406.19	4959	2222	58.4	74.36	0.97	1355	1	2	1	29	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RGIG7265	s__
PN5RH.vae.7584	metagenome-assembly	20	No	Yes	No	129	1743404	13514.76	20326	6298	62.26	94.76	0.26	2071	2	1	0	39	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp003487665
PN5RH.vae.9465	metagenome-assembly	5	Yes	No	Yes	148	2801883	18931.64	26346	10014	47.91	88.64	0.48	1718	0	0	2	44	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Merdiplasma	s__
PN6RA.bin.10	metagenome-assembly	3	Yes	No	Yes	187	4030930	21555.78	32499	11993	69.51	92.34	0.89	2020	1	0	0	41	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__
PN6RA.bin.105	metagenome-assembly	1	Yes	No	Yes	583	1736093	2977.86	3096	1780	67.2	60.76	0.68	3260	2	0	0	23	medium-quality	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__	s__
PN6RA.bin.106	metagenome-assembly	2	Yes	Yes	No	400	1191378	2978.45	3125	1812	52.05	80.21	4.34	2367	0	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UBA3818	s__UBA3818 sp002369315
PN6RA.vae.5473	metagenome-assembly	1	Yes	No	Yes	792	2116423	2672.25	2734	1718	70.55	57.21	8.35	1840	0	0	0	21	medium-quality	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__JAAYBP01	g__JAGQSN01	s__
PN6RA.vae.93628	metagenome-assembly	5	No	No	No	26	1975058	75963.77	122969	40908	48.97	98.89	0.31	1579	1	1	0	41	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__
PN6RB.bin.108	metagenome-assembly	1	Yes	No	Yes	603	2629117	4360.06	5205	2282	70.67	77.97	3	1250	0	0	0	32	medium-quality	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__JAAYBP01	g__JAGQSN01	s__
PN6RB.bin.142	metagenome-assembly	4	Yes	No	Yes	288	3099184	10761.06	18442	5100	72.27	92.96	1.72	1439	0	1	0	49	medium-quality	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__	s__
PN6RB.bin.212	metagenome-assembly	1	Yes	No	Yes	621	1860838	2996.52	3156	1780	35.46	51.96	2.81	1801	0	0	0	18	medium-quality	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__
PN6RB.bin.220	metagenome-assembly	5	No	No	No	56	2132150	38074.11	90218	29406	54.3	93.77	0.12	1297	0	0	0	42	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__
PN6RB.bin.252	metagenome-assembly	2	Yes	No	Yes	675	3064755	4540.38	5639	2253	74.46	70.97	2	2022	1	0	0	38	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Micromonosporaceae	g__Natronosporangium	s__
PN6RB.bin.34	metagenome-assembly	3	Yes	Yes	No	625	3999728	6399.56	8234	3149	68.14	79.3	2.48	1221	0	0	0	35	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium elephantis
PN6RB.bin.67	metagenome-assembly	1	Yes	No	Yes	146	1540261	10549.73	15069	4582	48.86	92.32	1.06	2851	2	0	2	36	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UBA7597	s__
PN6RB.bin.8	metagenome-assembly	3	Yes	No	Yes	279	3578661	12826.74	18543	6070	73.98	100	0.26	1382	1	2	2	43	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Tomitella	s__
PN6RB.vae.12530	metagenome-assembly	1	Yes	No	Yes	231	827799	3583.55	4054	2059	31.11	64.04	1.15	905	0	2	0	27	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RUG14215	s__
PN6RB.vae.14535	metagenome-assembly	1	Yes	No	Yes	263	1670874	6353.13	7181	3474	63.63	57.57	1.93	987	1	0	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__
PN6RB.vae.1691	metagenome-assembly	4	Yes	No	Yes	440	2028040	4609.18	5690	2372	47.5	88.01	2.51	1567	0	0	0	37	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA6857	s__
PN6RB.vae.18442	metagenome-assembly	7	Yes	No	Yes	132	1998839	15142.72	20555	8007	53.13	89.45	2.78	1289	0	2	0	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN6RB.vae.2191	metagenome-assembly	8	No	No	No	256	2375094	9277.71	13278	4201	40.13	78	1.85	1754	0	1	0	37	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__
PN6RB.vae.25081	metagenome-assembly	1	Yes	No	Yes	276	1442074	5224.91	5762	3237	59.5	56.14	1.33	1982	0	0	0	21	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecivivens	s__
PN6RB.vae.32416	metagenome-assembly	1	No	Yes	No	20	1409570	70478.5	118713	36245	43.36	100	0.06	1516	0	0	0	43	medium-quality	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAZU01	s__CAZU01 sp934255405
PN6RB.vae.32906	metagenome-assembly	2	Yes	No	Yes	79	1234754	15629.8	27674	6595	26.03	74.79	0.02	1352	0	0	0	30	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG705	s__
PN6RB.vae.3960	metagenome-assembly	2	Yes	No	Yes	249	974763	3914.71	4705	2207	57.86	51.66	2	1693	0	0	0	13	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN6RB.vae.6062	metagenome-assembly	9	No	No	No	171	1836176	10737.87	15611	4837	39.2	87.44	0.85	2116	0	2	0	38	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__MD308	s__
PN6RB.vae.7066	metagenome-assembly	2	No	No	No	268	3058664	11412.93	17476	4946	28.2	100	3.26	1107	5	4	1	48	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN6RB.vae.7629	metagenome-assembly	1	Yes	No	Yes	409	1168498	2856.96	2894	1802	41.28	54.29	1.75	1297	0	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Bariatricus	s__
PN6RC.bin.157	metagenome-assembly	4	Yes	No	Yes	179	1854450	10360.06	17292	4146	44.66	84.99	0.23	2667	0	0	0	18	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__XBB1006	s__
PN6RC.bin.176	metagenome-assembly	3	Yes	No	Yes	348	2591127	7445.77	11775	3036	65.48	93.48	0.46	1283	1	2	2	44	high-quality	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__	s__
PN6RC.bin.219	metagenome-assembly	1	Yes	No	Yes	420	1414703	3368.34	3541	2033	58.95	55.71	0.51	1744	1	0	0	19	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__RUG11247	s__
PN6RC.bin.65	metagenome-assembly	2	Yes	Yes	No	432	1650249	3820.02	4152	2167	40.19	64.54	1.72	1888	0	0	0	24	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Intestinibaculum	s__Intestinibaculum porci
PN6RC.bin.92	metagenome-assembly	1	Yes	No	Yes	169	2315257	13699.75	23265	6528	50.31	81.39	1.75	1229	3	6	2	43	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__
PN6RC.vae.10670	metagenome-assembly	2	No	Yes	No	353	3706007	10498.6	34009	3372	34.51	99.97	0.45	1613	7	4	0	42	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Rummeliibacillus	s__Rummeliibacillus sp003576525
PN6RC.vae.11816	metagenome-assembly	2	Yes	No	Yes	180	2152019	11955.66	20283	5124	63.18	85.39	2.28	1241	0	2	0	34	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN6RC.vae.12785	metagenome-assembly	1	No	No	No	275	1651595	6005.8	7002	3132	57.22	61.72	1.38	1547	0	0	0	28	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
PN6RC.vae.13639	metagenome-assembly	5	Yes	No	Yes	340	2553009	7508.85	11938	3080	27.78	92.01	3.13	1892	3	0	2	49	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN6RC.vae.1485	metagenome-assembly	8	Yes	Yes	No	400	3110050	7775.12	11087	3566	27.94	97.13	2.49	1713	4	0	0	64	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium saudiense
PN6RC.vae.14954	metagenome-assembly	1	No	Yes	No	124	1878378	15148.21	24089	7248	36.3	94.58	0.19	1893	0	2	0	48	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Succinivibrionaceae	g__Succinivibrio	s__Succinivibrio hippei_B
PN6RC.vae.15743	metagenome-assembly	6	No	Yes	No	97	2234750	23038.66	37800	10395	61.28	92.43	0.19	1739	0	0	2	48	medium-quality	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Aveggerthella	s__Aveggerthella stercoripullorum
PN6RC.vae.16352	metagenome-assembly	4	Yes	No	Yes	206	1854981	9004.76	11558	4241	57.04	64.44	1.84	2460	2	0	0	29	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN6RC.vae.17722	metagenome-assembly	1	No	Yes	No	198	2431381	12279.7	19232	5765	41.69	86.49	1.8	1463	0	0	0	38	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A sp022769185
PN6RC.vae.18865	metagenome-assembly	26	Yes	No	Yes	484	3076667	6356.75	9731	2652	28.73	89.86	2.26	3221	8	0	1	54	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AN	s__
PN6RC.vae.19415	metagenome-assembly	2	Yes	No	Yes	91	1961813	21558.38	41575	8727	41.61	70.97	1.27	1915	0	2	2	27	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__
PN6RC.vae.27573	metagenome-assembly	1	Yes	No	Yes	124	1899591	15319.28	20293	7890	59.35	81.04	0.9	2218	0	2	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Oscillibacter	s__
PN6RC.vae.2859	metagenome-assembly	1	Yes	No	Yes	365	1652865	4528.4	5597	2166	62	51.56	7.21	1758	0	0	2	29	medium-quality	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas_C	s__
PN6RC.vae.3148	metagenome-assembly	1	Yes	No	Yes	681	2104809	3090.76	3369	1891	74.32	61.5	2.4	2464	1	0	0	22	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Ornithinimicrobium	s__
PN6RC.vae.3581	metagenome-assembly	15	Yes	No	Yes	184	2036483	11067.84	16850	5477	56.3	87.75	0.41	1873	0	0	0	34	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN6RC.vae.4761	metagenome-assembly	5	Yes	Yes	No	156	1725672	11062	15635	5382	59.1	94.42	0.92	1591	0	0	0	38	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp905215425
PN6RC.vae.6433	metagenome-assembly	8	Yes	No	Yes	248	1799894	7257.64	8729	3891	56.12	89.87	1.02	2151	1	0	0	32	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAKXIK01	s__
PN6RC.vae.8102	metagenome-assembly	1	No	Yes	No	235	996938	4242.29	4607	2568	44.76	54.61	0.78	1074	0	0	0	11	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__Ruminiclostridium_E sp016302655
PN6RC.vae.8122	metagenome-assembly	4	Yes	Yes	No	230	1107135	4813.63	6311	2316	26.95	92.7	4.48	1315	0	0	0	32	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Onthovivens	s__Onthovivens sp016302065
PN6RC.vae.8299	metagenome-assembly	1	No	No	No	650	2832973	4358.42	5269	2264	53.03	83.01	1.12	970	0	0	0	31	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__Flemingibacterium	s__
PN6RC.vae.9743	metagenome-assembly	6	No	Yes	No	64	983359	15364.98	20574	7581	26.8	94.02	0.01	1305	0	0	2	32	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-302	s__CAG-302 sp900543825
PN6RD.bin.26	metagenome-assembly	6	Yes	Yes	No	419	2635379	6289.69	8646	3055	42.98	85.18	1.68	1161	3	0	0	50	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter variabilis
PN6RD.bin.34	metagenome-assembly	6	Yes	No	Yes	289	1653732	5722.26	7399	2864	42.26	91.57	2.58	1779	1	0	0	36	medium-quality	d__Bacteria	p__Bacillota_C	c__	o__	f__	g__	s__
PN6RD.vae.1901	metagenome-assembly	3	No	No	No	295	1792017	6074.63	7953	3130	34.34	63.32	0.52	1535	0	0	0	21	medium-quality	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__
